Produto,Categoria,Preço Unitário (R$),Quantidade Vendida,Total de Vendas (R$),Data da Venda
Brinquedos Value,Brinquedos,642.62,15,9639.3,2024-04-03
Móveis End,Móveis,53.12,1,53.12,2024-11-23
Vestuário Benefit,Vestuário,957.08,17,16270.36,2024-06-03
Vestuário Organization,Vestuário,1737.15,8,13897.2,2024-09-23
Eletrônicos Want,Eletrônicos,866.41,15,12996.15,2024-01-15
Móveis World,Móveis,1167.0,20,23340.0,2024-05-24
Eletrônicos Any,Eletrônicos,4162.65,20,83253.0,2024-07-06
Brinquedos War,Brinquedos,1662.05,6,9972.3,2024-03-14
Vestuário Something,Vestuário,4428.43,12,53141.16,2024-05-21
Eletrônicos Trade,Eletrônicos,3878.79,16,62060.64,2024-03-24
Brinquedos Choice,Brinquedos,4369.41,15,65541.15,2024-05-18
Vestuário Half,Vestuário,2022.13,4,8088.52,2024-10-24
Brinquedos Economic,Brinquedos,2293.82,12,27525.84,2024-06-05
Móveis Discuss,Móveis,3925.05,17,66725.85,2024-01-11
Eletrodomésticos Too,Eletrodomésticos,1278.13,2,2556.26,2024-07-31
Eletrodomésticos Care,Eletrodomésticos,818.13,11,8999.43,2024-08-15
Móveis All,Móveis,2240.68,10,22406.8,2024-02-26
Eletrônicos Save,Eletrônicos,3464.84,20,69296.8,2024-04-14
Brinquedos Share,Brinquedos,2753.89,16,44062.24,2024-10-15
Móveis Last,Móveis,3199.9,4,12799.6,2024-04-11
Eletrônicos Behind,Eletrônicos,864.75,17,14700.75,2024-08-28
Móveis Scientist,Móveis,1979.81,17,33656.77,2024-06-20
Brinquedos View,Brinquedos,2184.64,6,13107.84,2024-04-23
Móveis Table,Móveis,1096.53,10,10965.3,2024-09-03
Brinquedos Ask,Brinquedos,4719.75,11,51917.25,2024-09-20
Vestuário Today,Vestuário,1651.85,12,19822.2,2024-07-09
Eletrodomésticos Able,Eletrodomésticos,4311.98,3,12935.94,2024-04-24
Eletrônicos Dinner,Eletrônicos,3530.12,13,45891.56,2024-07-14
Vestuário Write,Vestuário,4234.82,1,4234.82,2024-07-16
Vestuário Lay,Vestuário,4772.85,9,42955.65,2024-08-13
Eletrodomésticos Use,Eletrodomésticos,3466.95,2,6933.9,2024-03-22
Eletrônicos Lawyer,Eletrônicos,3709.91,18,66778.38,2024-11-11
Eletrodomésticos Speak,Eletrodomésticos,89.69,2,179.38,2024-05-28
Móveis Room,Móveis,3095.59,8,24764.72,2024-11-25
Eletrodomésticos Step,Eletrodomésticos,3714.54,3,11143.62,2024-04-02
Eletrônicos Whether,Eletrônicos,682.56,18,12286.08,2024-07-04
Vestuário Choice,Vestuário,1615.44,3,4846.32,2024-04-07
Vestuário Capital,Vestuário,2023.03,12,24276.36,2024-04-29
Móveis Feel,Móveis,2206.56,18,39718.08,2024-08-26
Eletrodomésticos Public,Eletrodomésticos,1046.89,10,10468.9,2024-10-22
Brinquedos Meet,Brinquedos,4037.59,3,12112.77,2024-10-10
Móveis Give,Móveis,240.04,12,2880.48,2024-08-03
Vestuário Form,Vestuário,4581.21,19,87042.99,2024-02-25
Eletrodomésticos Field,Eletrodomésticos,874.99,2,1749.98,2024-05-21
Eletrodomésticos Occur,Eletrodomésticos,2135.36,16,34165.76,2024-08-12
Eletrônicos Office,Eletrônicos,3147.44,20,62948.8,2024-04-19
Eletrodomésticos True,Eletrodomésticos,1148.61,2,2297.22,2024-02-19
Eletrônicos Worker,Eletrônicos,1315.83,2,2631.66,2024-11-24
Brinquedos Trial,Brinquedos,3282.81,18,59090.58,2024-03-16
Móveis Develop,Móveis,1614.71,20,32294.2,2024-01-29
Eletrônicos Stock,Eletrônicos,2310.91,12,27730.92,2024-01-15
Vestuário Thank,Vestuário,3226.47,14,45170.58,2024-09-01
Brinquedos Increase,Brinquedos,652.68,9,5874.12,2024-08-06
Vestuário Begin,Vestuário,3123.96,12,37487.52,2024-03-05
Móveis Nor,Móveis,4423.84,15,66357.6,2024-09-01
Eletrodomésticos In,Eletrodomésticos,3590.29,1,3590.29,2024-02-13
Eletrodomésticos Consider,Eletrodomésticos,4780.67,3,14342.01,2024-06-10
Brinquedos Rich,Brinquedos,1776.11,3,5328.33,2024-10-08
Móveis Against,Móveis,2679.5,6,16077.0,2024-07-12
Eletrodomésticos For,Eletrodomésticos,4889.84,19,92906.96,2024-05-22
Brinquedos Time,Brinquedos,3520.75,15,52811.25,2024-08-18
Brinquedos On,Brinquedos,4845.65,20,96913.0,2024-03-30
Móveis Believe,Móveis,1984.09,10,19840.9,2024-07-27
Móveis Easy,Móveis,413.47,9,3721.23,2024-07-20
Eletrônicos Keep,Eletrônicos,313.05,9,2817.45,2024-07-29
Móveis Wait,Móveis,1954.49,16,31271.84,2024-04-06
Brinquedos Much,Brinquedos,1988.48,5,9942.4,2024-10-09
Brinquedos Money,Brinquedos,4658.92,1,4658.92,2024-07-16
Vestuário Star,Vestuário,3649.9,9,32849.1,2024-08-31
Móveis Say,Móveis,4555.12,17,77437.04,2024-03-22
Eletrônicos Whole,Eletrônicos,1137.08,9,10233.72,2024-05-16
Eletrônicos Physical,Eletrônicos,1763.03,18,31734.54,2024-02-23
Eletrônicos Girl,Eletrônicos,4695.87,8,37566.96,2024-08-17
Móveis Teach,Móveis,4377.46,12,52529.52,2024-06-18
Eletrônicos Crime,Eletrônicos,2583.5,10,25835.0,2024-02-17
Eletrônicos Senior,Eletrônicos,692.95,12,8315.4,2024-01-27
